Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.481.593.024;2,406;2,406
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.705;0,664;0,664
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.593.725;0,225;2,269
Bens Indls/Transporte;CCRO3;CCR SA;ON  ED  NM;995.335.937;0,595;2,269
Bens Indls/Transporte;GOLL4;GOL;PN      N2;198.184.909;0,084;2,269
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,365;2,269
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.677.525.446;0,921;2,51
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,146;2,51
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;292.587.273;0,096;2,51
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,098;2,51
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,249;2,51
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.245.879;2,828;2,828
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.645.897;0,781;1,072
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;531.372.207;0,261;1,072
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,03;1,072
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,544;0,544
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;101.824.365;0,19;0,19
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;62.305.891;0,183;1,265
Consumo Cíclico / Comércio;BHIA3;CASAS BAHIA;ON      NM;2.361.578.440;0,062;1,265
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,141;1,265
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;951.318.467;0,61;1,265
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,207;1,265
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;329.077.188;0,062;1,265
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;208.965.950;0,09;0,09
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,253;0,491
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,069;0,491
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;376.187.582;0,169;0,491
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;443.905.649;0,07;0,07
Diversos;COGN3;COGNA ON;ON      NM;1.815.524.541;0,231;2,95
Diversos;RENT3;LOCALIZA;ON      NM;852.600.726;2,263;2,95
Diversos;VAMO3;VAMOS;ON      NM;421.383.330;0,185;2,95
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,271;2,95
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;532.616.595;0,616;1,163
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,216;1,163
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON  EJ  N2;266.965.257;0,331;1,163
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.197.306.576;2,281;2,281
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.500.728.902;0,949;16,816
